Filename	Years	Punctuation	Contractions	Register
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0157969.txt	0.002	0.027	0.001	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0131434.txt	0.007	0.768	0.237	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1795710.txt	0.0	0.009	0.001	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0154982.txt	0.003	0.144	0.055	SP
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0704923.txt	0.0	0.016	0.077	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1442711.txt	0.0	0.029	0.001	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+1433607.txt	0.002	0.041	0.012	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0120263.txt	0.003	0.097	0.04	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0066257.txt	0.0	0.003	0.005	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3198434.txt	0.001	0.026	0.01	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0168596.txt	0.018	0.359	0.082	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991051.txt	0.091	0.225	0.017	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1739496.txt	0.001	0.025	0.001	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993120.txt	0.004	0.04	0.005	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3056601.txt	0.001	0.026	0.011	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3131315.txt	0.001	0.048	0.023	OP
1+SP+IT+NA-SP-SP-SP+MA-IT-IT-IT+NNNN+0503515.txt	0.001	0.053	0.036	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0707417.txt	0.0	0.008	0.0	IP
